部門名,分類,排出量2005年度,排出量2013年度,排出量目安2030年度,2013年比削減率
産業部門,エネルギー起源CO2,457,429,401,6.5%
業務その他部門,エネルギー起源CO2,239,279,168,39.8%
家庭部門,エネルギー起源CO2,180,201,122,39.3%
運輸部門,エネルギー起源CO2,240,225,163,27.6%
エネルギー転換部門,エネルギー起源CO2,104,101,73,27.7%
非エネルギー起源CO2,非エネルギー起源CO2,85.4,75.9,70.8,6.7%
メタン,メタン,39,36,31.6,12.2%
一酸化二窒素,一酸化二窒素,25.5,22.5,21.1,6.2%
HFCs,HFC等4ガス,12.7,31.8,21.6,32.1%
PFCs,HFC等4ガス,8.6,3.3,4.2,-27.3%
SF6,HFC等4ガス,5.1,2.2,2.7,-22.7%
NF3,HFC等4ガス,1.2,1.4,0.5,64.3%
森林吸収減対策,温室効果ガス吸収源対策・施策,0,0,-37,
農地土壌炭素吸収源対策,温室効果ガス吸収源対策・施策,0,0,-7.9,
都市緑化等の推進,温室効果ガス吸収源対策・施策,0,0,-1.2,
合計,合計,1397.5,1408.1,1033.4,26.6%
