調査年,標準地域コード,町丁字コード,都道府県名,市区町村名,行政区名,大字・町名,字・丁目名,最小年齢,最大年齢,人口,男性人口,女性人口,備考
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",0,0,631,316,315,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",1,1,655,348,307,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",2,2,670,319,351,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",3,3,685,346,339,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",4,4,703,357,346,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",5,5,703,368,335,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",6,6,710,363,347,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",7,7,731,372,359,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",8,8,727,357,370,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",9,9,733,370,363,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",10,10,772,390,382,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",11,11,752,389,363,""
