sabae_ellection,kubun,polling_station,man_voters,female_voters,total_voters,man_voted,female_voted,total_voted,man_votedrate,female_votedrate,votedrate
1,20110410県議会,1,1188,1325,2513,578,605,1183,48.65,45.66,47.08
2,20110410県議会,2,1806,2055,3861,886,976,1862,49.06,47.49,48.23
3,20110410県議会,3,845,962,1807,412,439,851,48.76,45.63,47.09
4,20110410県議会,4,1088,1245,2333,469,530,999,43.11,42.57,42.82
5,20110410県議会,5,1814,1979,3793,752,775,1527,41.46,39.16,40.26
6,20110410県議会,6,2371,2594,4965,1036,1094,2130,43.69,42.17,42.9
7,20110410県議会,7,1331,1418,2749,565,572,1137,42.45,40.34,41.36
8,20110410県議会,8,1208,1326,2534,534,603,1137,44.21,45.48,44.87
9,20110410県議会,9,1146,1272,2418,408,468,876,35.6,36.79,36.23
10,20110410県議会,10,1660,1848,3508,794,875,1669,47.83,47.35,47.58
11,20110410県議会,11,752,835,1587,340,350,690,45.21,41.92,43.48
12,20110410県議会,12,2169,2259,4428,935,997,1932,43.11,44.13,43.63
13,20110410県議会,13,2491,2635,5126,992,1050,2042,39.82,39.85,39.84
14,20110410県議会,14,1765,1861,3626,680,730,1410,38.53,39.23,38.89
15,20110410県議会,15,1138,1286,2424,544,560,1104,47.8,43.55,45.54
16,20110410県議会,16,1863,1998,3861,938,937,1875,50.35,46.9,48.56
17,20110410県議会,17,884,894,1778,403,424,827,45.59,47.43,46.51
18,20110410県議会,期日前,,,,1259,1494,2753,,,
19,20110410県議会,合計,25519,27792,53311,12525,13479,23251,49.08,48.5,43.61
20,20081005市長選挙,1,1199,1358,2557,449,540,989,37.45,39.76,38.68
21,20081005市長選挙,2,1800,2033,3833,634,735,1369,35.22,36.15,35.72
22,20081005市長選挙,3,855,989,1844,343,414,757,40.12,41.86,41.05
23,20081005市長選挙,4,1082,1227,2309,373,420,793,34.47,34.23,34.34
24,20081005市長選挙,5,1825,1952,3777,673,715,1388,36.88,36.63,36.75
25,20081005市長選挙,6,2322,2513,4835,822,879,1701,35.4,34.98,35.18
26,20081005市長選挙,7,1286,1406,2692,490,532,1022,38.1,37.84,37.96
27,20081005市長選挙,8,1206,1298,2504,416,501,917,34.49,38.6,36.62
28,20081005市長選挙,9,1184,1319,2503,329,366,695,27.79,27.75,27.77
29,20081005市長選挙,10,1668,1826,3494,707,776,1483,42.39,42.5,42.44
30,20081005市長選挙,11,750,841,1591,355,365,720,47.33,43.4,45.25
31,20081005市長選挙,12,2144,2240,4384,903,966,1869,42.12,43.13,42.63
32,20081005市長選挙,13,2435,2578,5013,884,965,1849,36.3,37.43,36.88
